,game,model,experiment,episode,metric,value
115,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Request Success Ratio,1.0
116,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Aborted,0.0
117,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Lose,1.0
118,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Success,1.0
119,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Penalties,0.0
120,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Turn Count,9.0
121,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Initial Distance,5.414213562373095
122,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Total Distance,11.313708498984761
123,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Expected Distance Score,0.12499999999999989
124,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Distance Reduction Score,0.0
125,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Distance Score,0.062499999999999944
126,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Penalty Score,1.0
127,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Main Score,0.0
128,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Request Count,24.0
129,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,3_gs9x9_obj5_en,episode_1,Parsed Request Count,23.0
