,game,model,experiment,episode,metric,value
61,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Success,1.0
62,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Main Score,0.2476268651626688
63,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,distance_score,0.2588826317609719
64,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,consistency_score,0.9565217391304348
65,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,coverage_score,1.0
66,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Request Count,39.0
67,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Parsed Request Count,39.0
68,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Violated Request Count,0.0
69,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Request Success Ratio,1.0
70,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Aborted,0.0
71,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Lose,0.0
72,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Success,1.0
73,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,Main Score,0.49289298361754413
74,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,distance_score,0.5398351725335007
75,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,consistency_score,0.9130434782608696
76,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_0,coverage_score,1.0
77,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Request Count,40.0
78,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Parsed Request Count,40.0
79,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Violated Request Count,0.0
80,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Request Success Ratio,1.0
81,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Aborted,0.0
82,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Lose,0.0
83,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Success,1.0
84,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,Main Score,0.2225888137057107
85,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,distance_score,0.24973379098689497
86,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,consistency_score,0.8913043478260869
87,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,5_abstract_9,episode_0,coverage_score,1.0
88,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Request Count,23.0
89,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Parsed Request Count,23.0
90,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Violated Request Count,0.0
91,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Request Success Ratio,1.0
92,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Aborted,0.0
93,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Lose,0.0
94,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Success,1.0
95,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,Main Score,0.8426494655225978
96,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,distance_score,0.8426494655225978
97,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,consistency_score,1.0
98,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_1,coverage_score,1.0
99,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Request Count,26.0
100,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Parsed Request Count,26.0
101,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Violated Request Count,0.0
102,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Request Success Ratio,1.0
103,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Aborted,0.0
104,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Lose,0.0
105,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Success,1.0
106,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,Main Score,0.4567434721510551
107,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,distance_score,0.47501321103709726
108,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,consistency_score,0.9615384615384616
109,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,4_abstract_5,episode_0,coverage_score,1.0
110,clean_up_mm,gpt-4o-2024-08-06-t0.0--gpt-4o-2024-08-06-t0.0,0_normal_5,episode_1,Request Count,21.0
111,clean_up_mm,gpt-4o-2024-08-06-t0.0--gpt-4o-2024-08-06-t0.0,0_normal_5,episode_1,Parsed Request Count,21.0
112,clean_up_mm,gpt-4o-2024-08-06-t0.0--gpt-4o-2024-08-06-t0.0,0_normal_5,episode_1,Violated Request Count,0.0
113,clean_up_mm,gpt-4o-2024-08-06-t0.0--gpt-4o-2024-08-06-t0.0,0_normal_5,episode_1,Request Success Ratio,1.0
114,clean_up_mm,gpt-4o-2024-08-06-t0.0--gpt-4o-2024-08-06-t0.0,0_normal_5,episode_1,Aborted,0.0
